date,tip_movi,tip_naci,sex_migr,nac_migr,via_tran,mot_viam,pais_prod,lug_prod,iso_pais_res,jef_migr,can_jefm,lat_can_jefm,lng_can_jefm,iso_nac_migr,lat_nac_migr,lng_nac_migr,iso_pais_prod,lat_pais_prod,lng_pais_prod,count
2019-01,1,1,1,Ecuador,3,6,Estados Unidos,Fort Lauderdale Florida,US,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,US,37.09024,-95.712891,1
2019-01,1,1,1,Ecuador,3,4,Alemania,Berlín,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,2
2019-01,1,1,1,Ecuador,3,4,Alemania,Frankfurt,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,3
2019-01,1,1,1,Ecuador,3,4,Alemania,Hamburgo,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,2
2019-01,1,1,1,Ecuador,3,4,Alemania,Paderborn,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,DE,51.165691,10.451526,1
2019-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,DE,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,1
2019-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,AR,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,20
2019-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,AR,Aeropuerto Internacional Mariscal Sucre,1701,-0.2186,-78.5097,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,3
2019-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,EC,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,3
2019-01,1,1,1,Ecuador,3,4,Argentina,Buenos Aires,ES,Aeropuerto Internacional José Joaquín de Olmedo,901,-2.1833,-79.8833,EC,-1.831239,-78.183406,AR,-38.416097,-63.616672,1
